caregiver_id,week,stressLevel,sleepQualityHoursPerWeek,workloadHoursPerWeek,familyWeeklyIncome,careQuality
52,3,0.505,50.4,12.945554990688393,1209.5838057432834,0.7198333333333333
53,3,0.7720000000000001,47.6,19.31939132071375,968.5058676636337,0.6753333333333333
54,3,0.505,50.4,14.586640769840862,1315.5413414588545,0.7198333333333333
55,3,0.7430000000000001,53.2,12.577496838968152,857.1779037366889,0.6801666666666667
56,3,0.6070000000000001,53.2,10.0,1091.9051237184526,0.7028333333333334
57,3,0.7430000000000001,50.4,15.165560814084373,886.3606698857872,0.6801666666666667
58,3,0.505,50.4,13.092490581253436,1286.7491447631103,0.7198333333333333
59,3,0.7430000000000001,50.4,14.999537169660968,803.3155890329454,0.6801666666666667
60,3,0.505,53.2,12.684205935698394,1364.691778542685,0.7198333333333333
61,3,0.6070000000000001,50.4,14.965673770337418,1167.3675614434687,0.7028333333333334
62,3,0.505,50.4,17.761127711728555,1298.459338847036,0.7198333333333333
63,3,0.7430000000000001,53.2,10.0,869.5256984506598,0.6801666666666667
64,3,0.6070000000000001,50.4,12.95731850079413,1015.7858278919736,0.7028333333333334
65,3,0.6070000000000001,50.4,16.44780325943237,1057.0439668396093,0.7028333333333334
66,3,0.6070000000000001,50.4,15.501546739994879,959.4245672134041,0.7028333333333334
67,3,0.6070000000000001,50.4,18.309721816870386,976.1216852071119,0.7028333333333334
68,3,0.505,50.4,18.923419692605336,1444.4803522059656,0.7198333333333333
69,3,0.505,53.2,10.0,1407.0006829497797,0.7198333333333333
70,3,0.505,53.2,12.051452064395,1247.2225253656925,0.7198333333333333
71,3,0.6070000000000001,50.4,15.73916452502948,1074.6535157478454,0.7028333333333334
72,3,0.6070000000000001,50.4,17.884949859684212,986.8148793521217,0.7028333333333334
73,3,0.505,53.2,10.77595442122118,1398.4177323509011,0.7198333333333333
74,3,0.6070000000000001,53.2,10.0,1102.621615234321,0.7028333333333334
75,3,0.6070000000000001,53.2,10.167703357798061,1038.9651949723327,0.7028333333333334
76,3,0.6070000000000001,50.4,15.682109124877144,1179.3509292684334,0.7028333333333334
77,3,0.7720000000000001,47.6,19.273026810231812,1149.8694091214306,0.6753333333333333
78,3,0.505,54.88,18.98717554846774,1457.5273947718765,0.7198333333333333
79,3,0.7430000000000001,50.4,18.65276367566895,853.0233701365898,0.6801666666666667
80,3,0.6070000000000001,53.2,10.0,922.698010390393,0.7028333333333334
81,3,0.6070000000000001,53.2,10.122498595927993,986.8571091250949,0.7028333333333334
82,3,0.505,50.4,15.453411015099974,1411.2465200523297,0.7198333333333333
83,3,1.165,54.88,99.9854038869894,1298.6085537753565,0.6098333333333333
84,3,0.7430000000000001,53.2,10.0,879.4001531771103,0.6801666666666667
85,3,0.6070000000000001,53.2,10.0,937.0303665339097,0.7028333333333334
86,3,0.505,53.2,11.629133416692532,1463.4577642273484,0.7198333333333333
87,3,0.6070000000000001,50.4,17.618189413061984,1190.3939059209624,0.7028333333333334
88,3,1.432,54.88,122.08722769635162,929.7574828410063,0.5653333333333334
89,3,0.505,53.2,10.0,1292.322085635586,0.7198333333333333
90,3,1.568,54.88,158.34437483369072,871.5563665875655,0.5276666666666666
91,3,0.505,50.4,15.61148238524379,1490.9952545059468,0.7198333333333333
92,3,0.6070000000000001,50.4,16.03494855085414,913.7478529075423,0.7028333333333334
93,3,0.7430000000000001,53.2,11.031927748256052,847.0953688296482,0.6801666666666667
94,3,0.6070000000000001,50.4,13.155761852213281,924.9410651744912,0.7028333333333334
95,3,0.505,50.4,15.030556213742592,1264.2595677196314,0.7198333333333333
96,3,0.505,50.4,18.85462322166981,1407.42784698388,0.7198333333333333
97,3,0.6070000000000001,53.2,10.729214883522197,1179.8952734324744,0.7028333333333334
98,3,0.6070000000000001,50.4,16.499338979606655,1019.3398085545621,0.7028333333333334
99,3,0.67,54.88,39.29287967663956,1291.367610999816,0.6923333333333334
100,3,0.7430000000000001,53.2,10.0,818.0325525375557,0.6801666666666667
1,4,1.403,54.88,116.90983308019383,834.6877884560776,0.5701666666666667
2,4,0.6070000000000001,53.2,10.0,1176.1262844893085,0.7028333333333334
3,4,0.505,50.4,18.11333143308137,1310.2473519334053,0.7198333333333333
4,4,0.6070000000000001,50.4,14.847313425731713,912.3451942671433,0.7028333333333334
5,4,0.505,53.2,10.455429119164563,1336.2876866952479,0.7198333333333333
6,4,0.505,53.2,10.0,1353.6950131816056,0.7198333333333333
7,4,0.505,50.4,15.071294940244101,1336.760832513584,0.7198333333333333
